Overriding config with ../config/train_pride_prejudice_char_baseline.py:
# Pride and Prejudice baseline configuration
out_dir = '../Weights/out-pride-prejudice-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'pride_prejudice_baseline'

dataset = 'pride_prejudice_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3
max_iters = 1500
lr_decay_iters = 1500
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'mps'    # Apple Silicon MPS backend for the reduced bonus rerun
compile = False   # keep False for MPS

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/pride_prejudice_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1090: loss 1.3399, time 968.19ms, mfu 0.37%
iter 1100: loss 1.3045, time 959.55ms, mfu 0.37%
iter 1110: loss 1.2927, time 986.03ms, mfu 0.37%
iter 1120: loss 1.2931, time 952.85ms, mfu 0.38%
iter 1130: loss 1.2880, time 960.04ms, mfu 0.38%
iter 1140: loss 1.2935, time 940.76ms, mfu 0.38%
iter 1150: loss 1.2953, time 946.44ms, mfu 0.38%
iter 1160: loss 1.3290, time 1034.41ms, mfu 0.38%
iter 1170: loss 1.2930, time 963.00ms, mfu 0.38%
iter 1180: loss 1.3061, time 979.44ms, mfu 0.38%
iter 1190: loss 1.2702, time 944.86ms, mfu 0.38%
iter 1200: loss 1.2797, time 987.24ms, mfu 0.38%
iter 1210: loss 1.2617, time 969.37ms, mfu 0.38%
iter 1220: loss 1.2970, time 991.43ms, mfu 0.38%
iter 1230: loss 1.2923, time 944.68ms, mfu 0.38%
iter 1240: loss 1.2955, time 973.34ms, mfu 0.38%
step 1250: train loss 1.2025, val loss 1.4869
saving checkpoint to ../Weights/out-pride-prejudice-baseline
iter 1250: loss 1.2707, time 118054.10ms, mfu 0.34%
iter 1260: loss 1.2754, time 1013.86ms, mfu 0.35%
iter 1270: loss 1.2608, time 979.57ms, mfu 0.35%
iter 1280: loss 1.2555, time 962.21ms, mfu 0.35%
iter 1290: loss 1.2942, time 992.35ms, mfu 0.36%
iter 1300: loss 1.3063, time 964.47ms, mfu 0.36%
iter 1310: loss 1.2361, time 960.58ms, mfu 0.36%
iter 1320: loss 1.3032, time 999.74ms, mfu 0.36%
iter 1330: loss 1.2676, time 940.89ms, mfu 0.37%
iter 1340: loss 1.3005, time 967.66ms, mfu 0.37%
iter 1350: loss 1.2518, time 953.65ms, mfu 0.37%
iter 1360: loss 1.2795, time 972.79ms, mfu 0.37%
iter 1370: loss 1.2677, time 1010.06ms, mfu 0.37%
iter 1380: loss 1.2667, time 968.43ms, mfu 0.37%
iter 1390: loss 1.2536, time 968.99ms, mfu 0.37%
iter 1400: loss 1.2647, time 1018.73ms, mfu 0.37%
iter 1410: loss 1.2568, time 974.21ms, mfu 0.37%
iter 1420: loss 1.2801, time 985.68ms, mfu 0.37%
iter 1430: loss 1.2520, time 985.23ms, mfu 0.37%
iter 1440: loss 1.2688, time 976.91ms, mfu 0.38%
iter 1450: loss 1.2470, time 982.45ms, mfu 0.38%
iter 1460: loss 1.2582, time 998.60ms, mfu 0.38%
iter 1470: loss 1.2369, time 991.24ms, mfu 0.38%
iter 1480: loss 1.2288, time 1022.61ms, mfu 0.37%
iter 1490: loss 1.2549, time 1079.63ms, mfu 0.37%
step 1500: train loss 1.1716, val loss 1.4720
saving checkpoint to ../Weights/out-pride-prejudice-baseline
iter 1500: loss 1.2039, time 124348.25ms, mfu 0.33%
